zip,median_hh_income
77019,116423
77020,50119
77021,45574
77022,52739
77023,51430
77024,136149
77025,81008
77026,39211
77027,103812
77028,38357
77029,48279
77030,77336
77031,47162
77032,43725
77033,38071
77034,58217
77035,58686
77036,45716
77037,58750
77038,57232
77039,47119
77040,65028
77041,77083
77042,59097
77043,79359
77044,95000
77045,59688
77640,50973
77642,42950
77651,81637
77656,62303
77657,95718
77662,72243
77701,49181
77702,62125
77703,31803
77705,54633
77706,73185
77707,69756
77708,56586
77713,91330
77868,67890
77901,57923
77904,83130
77905,88585
78006,116156
78009,103125
78015,162487
78023,134007
78026,78501
78052,71429
78059,74940
78064,66887
78065,57200
78069,75625
78073,69635
78108,113004
78109,91320
78121,120048
78123,97553
78124,74192
78130,83064
78132,135315
78133,83853
78148,74783
78152,123981
78154,100572
78155,71039
78163,140594
78201,47121
78202,47478
78203,35536
78204,60255
78205,38964
78207,32472
78208,26595
78209,86514
78210,55028
78211,55436
78212,62801
78213,55884
78214,44902
78215,84437
78216,59110
78217,60988
78218,57285
78219,52094
78220,41710
78221,63811
78222,66362
78223,52088
78224,59891
78225,46955
78226,33398
78227,51519
78228,52976
78229,46574
78230,73529
78231,109183
78232,85273
78233,76421
78234,100662
78235,62863
78237,42772
78238,57769
78239,70098
78240,63351
78640,90075
78641,135024
78644,74709
78645,113008
78652,133368
78653,93900
78654,74130
78660,113205
78664,87417
78665,122680
78666,54737
78669,128000
78676,87344
78681,137819
78701,162168
78702,102171
78703,153036
78704,106897
78705,32380
78717,145325
78719,56202
78721,84573
78722,105046
78723,100329
78724,77926
78725,105795
78726,90885
78727,110379
78728,75243
78729,86438
78730,158673
78731,105494
78732,192500
78733,206368
78734,130784
78735,139191
78736,93805
78737,168920
78738,183048
78739,238559
78741,66741
78744,83002
78745,86109
78746,188414
78747,92748
78748,115213
78749,111079
78750,121563
78751,80915
78752,67682
78753,65170
78754,90121
78756,94701
78757,103860
78758,74381
78759,102400
78801,54161
78957,69149
79065,58912
79070,70915
79072,47255
79382,84457
79401,26980
79403,47907
79407,61509
79410,44537
79411,47634
79412,48878
79413,69400
79414,49057
79415,36468
79416,63896
79423,84933
79424,97231
79563,49276
79601,53631
79602,89551
79603,53513
79605,62929
79606,79196
79607,62637
79701,57346
79703,77285
79705,105310
79706,108059
79707,99886
79756,67468
79761,68228
79762,75272
79763,56877
79764,65170
79765,104965
79766,74407
79772,63347
79821,59232
79835,45924
79836,59003
79849,44831
79901,14872
79902,50873
79903,37155
79904,41841
79905,25721
79906,56044
79907,41617
79911,122713
79912,72943
79915,35432
79922,106003
79924,56976
79925,57623
79927,53652
79928,76643
79930,42099
79932,78277
79934,77754
79935,61323
79936,67198
79938,77272
82001,75362
82007,58745
82009,103835
82070,69095
82201,64982
82225,68422
82301,62841
82331,95610
82414,77958
82501,60449
82520,76959
82601,67642
82604,79118
82609,71010
82636,86638
82644,53750
82716,73155
82718,104458
82801,73213
82901,69954
82930,81042
82935,87993
83001,124717
83014,140473
83843,59444
84003,120330
84005,113437
84009,137922
84010,102445
84014,123130
84015,95519
84020,128910
84021,73819
